id,name,description,category,price,usable_in_battle,usable_outside,effect,sprite
acro-bike,Vélo Cross,Un vélo pliable qui permet de bondir et de rouler sur la roue arrière.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/acro-bike.png
adamant-crystal,Globe Adamant,,gameplay,0,false,true,"{""type"":""held"",""forme"":""origin"",""effect"":""form_change"",""pokemon"":""dialga""}",
adamant-mint,Aromate Rigide,"Si un Pokémon hume cet aromate, son Attaque montera plus facilement, mais son Attaque Spéciale se développera plus lentement.",nature-mints,20,false,true,"{""type"":""nature_change"",""nature"":""adamant"",""boosted"":""attack"",""lowered"":""sp_atk""}",
adamant-orb,Orbe Adamant,Orbe très brillant destiné à Dialga. Augmente la puissance des capacités de type Dragon et Acier.,species-specific,0,false,true,"{""type"":""held"",""value"":1.2,""effect"":""type_boost"",""pokemon"":""dialga"",""moveTypes"":[""dragon"",""steel""]}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adamant-orb.png
adrenaline-orb,Orbe Frousse,"Utilisé, augmente les chances qu’un Pokémon appelle du renfort, et disparaît. Équipé, augmente la Vitesse du porteur s’il est affecté par Intimidation.",held-items,4000,false,true,"{""type"":""held"",""boosts"":{""speed"":1},""effect"":""on_intimidate"",""consumable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adrenaline-orb.png
adventure-rules,ABC Aventure,Un manuel détaillant le savoir indispensable à un Dresseur partant à l’aventure. Écrit par une connaissance.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adventure-rules.png
aerodactyl-candy,Bonbon Ptéra,Un bonbon plein d’énergie. Il augmente toutes les stats d’un certain Pokémon.,species-candies,20,false,true,"{""type"":""species_candy"",""pokemon"":""aerodactyl""}",
aerodactylite,Ptéraïte,"Une variété de Méga-Gemme. Tenue par un Ptéra, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""aerodactyl""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aerodactylite.png
aggronite,Galekingite,"Une variété de Méga-Gemme. Tenue par un Galeking, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""aggron""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aggronite.png
aguav-berry,Baie Gowav,"Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.",picky-healing,80,true,true,"{""type"":""held"",""value"":0.33,""effect"":""pinch_heal"",""consumable"":true,""dislikedFlavor"":""bitter""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aguav-berry.png
aipom-hair,Poils de Capumain,,tm-materials,30,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
air-balloon,Ballon,"Tenu par un Pokémon, cet objet lui permet de flotter dans les airs. Il éclate en cas d’attaque.",held-items,4000,false,true,"{""type"":""held"",""effect"":""type_immunity"",""consumable"":true,""immuneType"":""ground"",""consumeTrigger"":""hit""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/air-balloon.png
air-mail,Lettre Avion,,all-mail,50,false,true,"{""type"":""mail""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/air-mail.png
alakazite,Alakazamite,"Une variété de Méga-Gemme. Tenue par un Alakazam, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""alakazam""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/alakazite.png
alomomola-mucus,Mucus de Mamanbo,,tm-materials,120,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
aloraichium-z--bag,Aloraïzélite,"Permet de concentrer la Force Z en un cristal, qui autorise le Raichu de la région d’Alola qui le tient à transformer son Tonnerre en capacité Z.",unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aloraichium-z--bag.png
aloraichium-z--held,Aloraïzélite,"Une cristallisation de la Force Z, permettant de transformer le Tonnerre d’un Raichu de la région d’Alola en capacité Z.",z-crystals,0,false,true,"{""type"":""z_crystal"",""pokemon"":""raichu-alola"",""baseMove"":""thunderbolt""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aloraichium-z--held.png
altarianite,Altarite,"Une variété de Méga-Gemme. Tenue par un Altaria, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""altaria""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/altarianite.png
amaze-mulch,Fertiprodige,"Un engrais servant à faire pousser des Baies. Il combine les effets du Fertibondance, du Fertistantané et du Fertibérance.",mulch,200,false,true,"{""type"":""mulch""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/amaze-mulch.png
ampharosite,Pharampite,"Une variété de Méga-Gemme. Tenue par un Pharamp, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""ampharos""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ampharosite.png
amulet-coin,Pièce Rune,Objet à tenir. Double l’argent gagné si le porteur se joint au combat.,training,10000,false,true,"{""type"":""held"",""effect"":""money_double""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/amulet-coin.png
antidote,Antidote,Un médicament sous forme de spray. Guérit un Pokémon empoisonné.,status-cures,200,false,true,"{""type"":""cure"",""target"":""poison""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/antidote.png
apicot-berry,Baie Abriko,"Tenue, cette Baie monte la Déf. Spé. en cas de besoin.",in-a-pinch,80,false,true,"{""stat"":""sp_def"",""type"":""held"",""effect"":""pinch_stat_boost"",""stages"":1,""threshold"":0.25,""consumable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/apicot-berry.png
apple,Pomme,,sandwich-ingredients,130,false,true,"{""type"":""ingredient""}",
applin-juice,Jus de Verpom,,tm-materials,100,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
apricorn-box,Boîte Noigrume,Une boîte bien pratique qui peut contenir jusqu’à 99 Noigrumes.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/apricorn-box.png
aqua-suit,Scaphandre Aqua,Une combinaison créée à partir des méthodes scientifiques de la Team Aqua. Elle résiste à tous les chocs.,plot-advancement,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aqua-suit.png
armor-fossil,Fossile Armure,Fossile d’un Pokémon préhistorique terrestre. On dirait une partie d’un collier.,dex-completion,7000,false,true,"{""type"":""collectible"",""usage"":""fossil_or_dex""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/armor-fossil.png
armor-pass,Pass Isolarmure,Un pass pour se rendre à Isolarmure. Montrez-le à l’employé de la Gare de Brasswick.,plot-advancement,0,false,true,"{""type"":""key_item""}",
armorite-ore,Armurium,Un minerai rare que l’on trouve à Isolarmure. Vous pourriez avoir une bonne surprise en le donnant à un collectionneur de l’île.,collectibles,20,false,true,"{""type"":""collectible""}",
arrokuda-scales,Écaille d'Embrochet,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
articuno-candy,Bonbon Artikodin,Un bonbon plein d’énergie. Il augmente toutes les stats d’un certain Pokémon.,species-candies,20,false,true,"{""type"":""species_candy"",""pokemon"":""articuno""}",
aspear-berry,Baie Willia,Baie qui soigne le gel lorsqu’elle est tenue par un Pokémon.,medicine,80,false,true,"{""type"":""medicine""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aspear-berry.png
assault-vest,Veste de Combat,"Objet à tenir. Une veste augmentant la Défense Spéciale, mais empêchant d’utiliser des attaques de statut.",held-items,1000,false,true,"{""stat"":""sp_def"",""type"":""held"",""value"":1.5,""effect"":""stat_multiply"",""restriction"":""no_status_moves""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/assault-vest.png
audinite,Nanméouïte,"Une variété de Méga-Gemme. Tenue par un Nanméouïe, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""audino""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/audinite.png
auroraticket,Ticketaurora,,event-items,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/auroraticket.png
auspicious-armor,Armure de la Fortune,,picnic,3000,false,true,"{""type"":""decoration""}",
autograph,Dédicace de Bob,"C’est un autographe de Major Bob, le Champion de l’Arène de Carmin sur Mer ! Il y a écrit « Good luck ! » dessus.",unused,0,false,false,"{""type"":""no_effect""}",
avocado,Avocat,,sandwich-ingredients,180,false,true,"{""type"":""ingredient""}",
awakening,Réveil,Un médicament sous forme de spray. Réveille un Pokémon endormi.,status-cures,200,false,true,"{""type"":""cure"",""target"":""sleep""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/awakening.png
axew-scales,Écaille de Coupenotte,,tm-materials,200,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
azure-flute,Flûte Azur,Flûte produisant des sons qui semblent provenir d’un autre monde. On ne sait pas qui l’a fabriquée.,event-items,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/azure-flute.png
azurill-fur,Poils d'Azurill,,tm-materials,60,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
b&w-grass-tablecloth,Nappe Hautes Herbes,,picnic,0,false,true,"{""type"":""decoration""}",
babiri-berry,Baie Babiri,"Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Acier.",type-protection,80,false,true,"{""type"":""held"",""value"":0.5,""effect"":""type_resist_berry"",""consumable"":true,""resistType"":""steel""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/babiri-berry.png
bachs-food-tin,Conserve de Bach,"Un ingrédient de cuisine pour le camping. Cette conserve, vendue par Bach, connaît un succès surprenant à Galar.",curry-ingredients,950,false,true,"{""type"":""ingredient""}",
bacon,Bacon,,sandwich-ingredients,150,false,true,"{""type"":""ingredient""}",
bagon-scales,Écaille de Draby,,tm-materials,200,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
baguette,Baguette,,sandwich-ingredients,0,false,true,"{""type"":""ingredient""}",
balm-mushroom,Champi Suave,Champignon rare qui répand un agréable parfum autour de lui. Les amateurs en donnent un bon prix.,loot,15000,false,true,"{""type"":""collectible"",""sellable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/balm-mushroom.png
banana,Banane,,sandwich-ingredients,80,false,true,"{""type"":""ingredient""}",
band-autograph,Dédicace,"Une dédicace des membres du célèbre groupe de Galar, « The Maximizers », au grand complet.",unused,0,false,false,"{""type"":""no_effect""}",
banettite,Branettite,"Une variété de Méga-Gemme. Tenue par un Branette, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""banette""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/banettite.png
barboach-slime,Mucus de Barloche,,tm-materials,60,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
barred-cup,Tasse à Rayures Bleues,,picnic,800,false,true,"{""type"":""decoration""}",
basculin-fang,Croc de Bargantua,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
basement-key,Clé Sous-Sol,Une clé qui permet d’ouvrir la porte au fond du Doublon-Tunnel.,plot-advancement,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/basement-key.png
basement-key--goldenrod,Clé Sous-Sol,Une clé qui permet d’ouvrir la porte au fond du Doublon-Tunnel.,unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/basement-key--goldenrod.png
basement-key--new-mauville,Clé Sous-Sol,"Une clé permettant d’accéder à New Lavandia, dans les sous-sols de Lavandia.",unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/basement-key--new-mauville.png
basil,Basilic,,sandwich-ingredients,280,false,true,"{""type"":""ingredient""}",
battle-pocket,Poche de Combat,- - -,unused,0,false,false,"{""type"":""no_effect""}",
battle-tablecloth,Nappe Combat Pokémon,,picnic,4000,false,true,"{""type"":""decoration""}",
beach-glass,Galet de Verre,Un morceau de verre coloré arrondi par les vagues. Sa texture est légèrement rugueuse.,loot,800,false,true,"{""type"":""collectible"",""sellable"":true}",
bead-mail,Lettre Bulle,,all-mail,50,false,true,"{""type"":""mail""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bead-mail.png
beast-ball,Ultra Ball,Une Poké Ball spéciale créée pour pouvoir capturer des Ultra-Chimères. Elle n’est pas du tout efficace sur les autres créatures.,special-balls,0,false,true,"{""type"":""catch"",""condition"":""ultra_beast"",""baseMultiplier"":1,""conditionMultiplier"":5}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/beast-ball.png
beedrillite,Dardargnite,"Une variété de Méga-Gemme. Tenue par un Dardargnan, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""beedrill""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/beedrillite.png
bellsprout-candy,Bonbon Chétiflor,Un bonbon plein d’énergie. Il augmente toutes les stats d’un certain Pokémon.,species-candies,20,false,true,"{""type"":""species_candy"",""pokemon"":""bellsprout""}",
bellsprout-vine,Liane de Chétiflor,,tm-materials,25,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
belue-berry,Baie Myrte,Baie très rare à Unys. Les amateurs en donnent un bon prix.,baking-only,20,false,true,"{""type"":""ingredient""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/belue-berry.png
bergmite-ice,Glace de Grelaçon,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
berry-juice,Jus de Baie,Une boisson 100% pur jus de Baies. Restaure 20 PV à un Pokémon.,healing,200,true,true,"{""type"":""heal"",""value"":20}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-juice.png
berry-pots,Plante-Baies,Un accessoire portatif qui permet de cultiver des Baies en tout lieu et à tout moment.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-pots.png
berry-pouch,Sac à Baies,,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-pouch.png
berry-sweet,Baie en Sucre,"Un bonbon en forme de Baie. Quand on le donne à un Crèmy, il danse de bonheur.",evolution,500,false,true,"{""type"":""evolution""}",
bicycle,Bicyclette,Une Bicyclette pliable permettant de se déplacer plus rapidement qu’avec les Chaussures de Sport.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bicycle.png
big-bamboo-shoot,Gros Bambou,,loot,1500,false,true,"{""type"":""collectible"",""sellable"":true}",
big-malasada,Malasada Maxi,Une spécialité d’Alola. Elle soigne toutes les altérations de statut d’un Pokémon.,status-cures,350,false,true,"{""type"":""cure"",""target"":""all""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-malasada.png
big-mushroom,Gros Champi,Un grand champignon plutôt rare. Il est très populaire parmi certains fans dévoués.,loot,5000,false,true,"{""type"":""collectible"",""sellable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-mushroom.png
big-nugget,Maxi Pépite,Grosse pépite d’or pur qui brille magnifiquement. Les amateurs en donnent un bon prix.,loot,40000,false,true,"{""type"":""collectible"",""sellable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-nugget.png
big-pearl,Grande Perle,Une grande perle qui brille d’une jolie couleur argent. Peut être vendue à bon prix aux magasins.,loot,8000,false,true,"{""type"":""collectible"",""sellable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-pearl.png
big-root,Grosse Racine,Objet à tenir augmentant la puissance des attaques volant des PV.,held-items,4000,false,true,"{""type"":""held"",""value"":1.3,""effect"":""drain_boost""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-root.png
bike--green,Bicyclette,Une Bicyclette pliable permettant de se déplacer bien plus rapidement qu’en marchant.,unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bike--green.png
bike--yellow,Bicyclette,Une Bicyclette pliable permettant de se déplacer bien plus rapidement qu’en marchant.,unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bike--yellow.png
bike-voucher,Bon Commande,,plot-advancement,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bike-voucher.png
binding-band,Bande Étreinte,Objet à tenir augmentant la puissance des attaques immobilisantes telles que Ligotage ou Étreinte.,held-items,4000,false,true,"{""type"":""held"",""value"":0.1667,""effect"":""trap_damage_boost""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/binding-band.png
bitter-herba-mystica,Épice Secrète Amère,,sandwich-ingredients,0,false,true,"{""type"":""ingredient""}",
black-apricorn,Noigrume Noir,Un Noigrume de couleur noire. Il dégage un arôme indéfinissable.,apricorn-box,200,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-apricorn.png
black-belt,Ceinture Noire,Objet à tenir. Ceinture qui augmente la détermination et la puissance des capacités de type Combat.,type-enhancement,1000,false,true,"{""type"":""held"",""value"":1.2,""effect"":""type_boost"",""moveType"":""fighting""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-belt.png
black-flute,Flûte Noire,Jouet en forme de flûte en verre noir. Les amateurs en donnent un bon prix.,spelunking,20,false,true,"{""type"":""spelunking_tool""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-flute.png
black-glasses,Lunettes Noires,Objet à tenir. Paire de lunettes à l’aspect louche qui monte la puissance des capacités de type Ténèbres.,type-enhancement,1000,false,true,"{""type"":""held"",""value"":1.2,""effect"":""type_boost"",""moveType"":""dark""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-glasses.png
black-mane-hair,Crins Sombres,"Des crins de Spectreval, le fidèle destrier du Seigneur des récoltes. Ils sont soyeux au toucher.",plot-advancement,0,false,true,"{""type"":""key_item""}",
black-sludge,Boue Noire,Objet à tenir restaurant peu à peu les PV des Pokémon de type Poison. Inflige des dégâts à tous les autres types.,held-items,4000,false,true,"{""type"":""held"",""effect"":""end_turn_heal_or_damage"",""healType"":""poison"",""healValue"":0.0625,""damageValue"":0.125}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-sludge.png
blank-plate,Plaque Renouveau,,plates,0,false,true,"{""type"":""held"",""value"":1.2,""effect"":""type_boost"",""moveType"":""normal"",""arceus_type"":""normal""}",
blastoisinite,Tortankite,"Une variété de Méga-Gemme. Tenue par un Tortank, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""blastoise""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blastoisinite.png
blazikenite,Braségalite,"Une variété de Méga-Gemme. Tenue par un Braségali, elle lui permet de méga-évoluer durant un combat.",mega-stones,0,false,true,"{""type"":""mega_stone"",""pokemon"":""blaziken""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blazikenite.png
bloom-mail,Lett. Pétale,,all-mail,50,false,true,"{""type"":""mail""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bloom-mail.png
blue-apricorn,Noigrume Bleu,Un Noigrume de couleur bleue. Il dégage un arôme un peu aigre.,apricorn-box,200,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-apricorn.png
blue-bottle,Gourde Bleue,,picnic,2000,false,true,"{""type"":""decoration""}",
blue-card,Carte Bleue,Une carte pour accumuler les points de l’émission “Le Mot de Passe de Buena”.,gameplay,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-card.png
blue-cup,Tasse Bleue,,picnic,1500,false,true,"{""type"":""decoration""}",
blue-dish,Assiette Bleue,,picnic,0,false,true,"{""type"":""decoration""}",
blue-flag-pick,Pique à Fanion Bleu,,picnic,120,false,true,"{""type"":""decoration""}",
blue-flute,Flûte Bleue,Jouet en forme de flûte en verre bleu. Les amateurs en donnent un bon prix.,flutes,20,false,true,"{""type"":""cure"",""target"":""sleep""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-flute.png
blue-orb,Gemme Bleue,Un orbe céruléen dont on dit qu’il a un lien très étroit avec les légendes de Hoenn.,plot-advancement,0,false,true,"{""type"":""key_item""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-orb.png
blue-petal,Pétale Bleu,Un pétale pressé que Néphie vous a remis lors de l’Épreuve d’Oléa. Il y en a sept à collectionner.,unused,0,false,false,"{""type"":""no_effect""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-petal.png
blue-poke-ball-pick,Pique à Ball Bleue,,picnic,200,false,true,"{""type"":""decoration""}",
blue-scarf,Foulard Bleu,Objet à tenir. Augmente la Beauté d’un Pokémon dans les Concours.,scarves,100,false,true,"{""stat"":""beauty"",""type"":""contest""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-scarf.png
blue-shard,Tesson Bleu,Petit tesson bleu. Il semble provenir d’un outil très ancien.,collectibles,1000,false,true,"{""type"":""collectible""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-shard.png
blue-sky-flower-pick,Pique Fleur d'Azur,,picnic,1000,false,true,"{""type"":""decoration""}",
blue-tablecloth,Nappe Bleue,,picnic,5000,false,true,"{""type"":""decoration""}",
bluk-berry,Baie Remu,Baie très rare à Unys. Les amateurs en donnent un bon prix.,baking-only,20,false,true,"{""type"":""ingredient""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bluk-berry.png
blunder-policy,Assurance Échec,"Si un Pokémon manque sa cible parce qu’une capacité a peu de Précision, sa Vitesse augmente beaucoup.",held-items,4000,false,true,"{""type"":""held"",""boosts"":{""speed"":2},""effect"":""on_move_miss"",""consumable"":true}",
bobs-food-tin,Conserve de Bob,"Un ingrédient de cuisine pour le camping. Cette conserve, vendue par Bob, connaît un succès étonnant à Galar.",curry-ingredients,950,false,true,"{""type"":""ingredient""}",
boiled-egg,Œuf Dur,Un ingrédient de cuisine pour le camping. Le simple ajout d’un œuf donne une touche de prestige à tous les plats.,curry-ingredients,2200,false,true,"{""type"":""ingredient""}",
bold-mint,Aromate Assuré,"Si un Pokémon hume cet aromate, sa Défense montera plus facilement, mais son Attaque se développera plus lentement.",nature-mints,20,false,true,"{""type"":""nature_change"",""nature"":""bold"",""boosted"":""defense"",""lowered"":""attack""}",
bombirdier-feather,Plume de Lestombaile,,tm-materials,200,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
bonsly-tears,Larme de Manzaï,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
boost-mulch,Fertibérance,Un engrais servant à faire pousser des Baies. Il augmente le nombre de Baies récoltées si elles sont arrosées avec beaucoup d’eau.,mulch,200,false,true,"{""type"":""mulch""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/boost-mulch.png
booster-energy,Énergie Booster,,held-items,0,false,true,"{""type"":""held"",""effect"":""activate_paradox_ability"",""consumable"":true}",
bottle-cap,Capsule d’Argent,Une jolie capsule en argent. Certaines personnes adorent en recevoir.,loot,5000,false,true,"{""type"":""collectible"",""sellable"":true}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bottle-cap.png
bounsweet-sweat,Sueur de Croquine,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
bramblin-twig,Branche de Virovent,,tm-materials,80,false,true,"{""type"":""material"",""usage"":""tm_crafting""}",
brave-mint,Aromate Brave,"Si un Pokémon hume cet aromate, son Attaque montera plus facilement, mais sa Vitesse se développera plus lentement.",nature-mints,20,false,true,"{""type"":""nature_change"",""nature"":""brave"",""boosted"":""attack"",""lowered"":""speed""}",
bread,Pain de Mie,Un ingrédient de cuisine pour le camping. Parfait pour saucer le curry quand on a fini son assiette.,curry-ingredients,150,false,true,"{""type"":""ingredient""}",
brick-mail,Lettre Brik,,all-mail,50,false,true,"{""type"":""mail""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/brick-mail.png
bridge-mail-d,Lettre Pont Y,Un papier à lettres avec un motif de pont mobile rouge. Peut être tenu et livré par un Pokémon.,all-mail,50,false,true,"{""type"":""mail""}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bridge-mail-d.png
